symbol,date,open,high,low,close,volume,adjclose,dividends,splits,rolling_30day_high,sma25,sma50,sma100,pc_sma25_by_close,pc_sma50_by_close,pc_sma25_by_sma100,mean_of_sma50_by_close_last_5_days
fmc,2023-03-31,121.37999725341797,122.31999969482422,121.01000213623047,122.12999725341797,516500,122.12999725341797,0.0,0.0,130.41000366210938,121.48479400634766,124.9635986328125,125.46857948303223,0.5310979471526295,-2.2675414363831385,-0.40247594441603995,-4.136807806456441
fox,2023-03-31,31.049999237060547,31.329999923706055,30.966999053955078,31.309999465942383,1149400,31.309999465942383,0.0,0.0,34.380001068115234,31.03599983215332,31.62468292236328,30.24734401702881,0.882844552361416,-0.9950564791224222,4.553586273753658,-2.5304196384865554
foxa,2023-03-31,33.79999923706055,34.09000015258789,33.724998474121094,34.04999923706055,3280100,34.04999923706055,0.0,0.0,37.2599983215332,33.741599578857425,34.189396896362304,32.4630571937561,0.9140042619567033,-0.4077219019812211,5.317859289414817,-1.8826688628927584
frc,2023-03-31,13.75,14.1899995803833,13.399999618530273,13.989999771118164,38971200,13.989999771118164,0.0,0.0,131.0500030517578,57.42160022735596,96.63973840713501,109.53867939949036,-75.63634639974165,-85.52355376607139,-11.775695181893314,-86.31091353405832
frt,2023-03-31,96.06999969482422,98.9800033569336,96.06999969482422,98.83000183105469,780000,98.83000183105469,0.0,0.0,109.86000061035156,98.18524017333985,103.45877197265625,103.73099678039551,0.6566788007816164,-4.474023858339367,-0.26243342509816914,-8.845642750706828
fslr,2023-03-31,213.5399932861328,218.0500030517578,213.5399932861328,217.5,1288800,217.5,0.0,0.0,219.5500030517578,205.03919921875,186.85059967041016,173.35600021362305,6.0772773346407485,16.403158664544286,7.784327880291421,15.173678837025367
ftnt,2023-03-31,66.0199966430664,66.56999969482422,65.55000305175781,66.45999908447266,5714400,66.45999908447266,0.0,0.0,66.56999969482422,61.62359954833985,58.81679969787598,55.015599708557126,7.848291192952722,12.994925643451309,6.909313012046681,11.907609928124769
ftv,2023-03-31,67.62000274658203,68.25,67.52999877929688,68.16999816894531,2219700,68.16999816894531,0.0,0.0,69.41999816894531,66.15719970703125,66.92537643432617,66.41990142822266,3.0424480945800023,1.8597157026684656,0.7610294433359798,0.19870550716973828
gd,2023-03-31,227.5500030517578,228.3000030517578,226.63999938964844,228.2100067138672,1323500,228.2100067138672,0.0,0.0,237.75999450683594,224.46719970703126,227.9832000732422,237.1666239929199,1.667418229354198,0.09948392712802337,-3.8721400866050497,-0.8315698043588885
ge,2023-03-31,94.52999877929688,95.66999816894531,94.30999755859375,95.5999984741211,7376100,95.5999984741211,0.0,0.0,95.66999816894531,89.7742626953125,85.8763348388672,76.80952701568603,6.489316207007711,11.322867532130655,11.80427503651929,10.317785042264996
gehc,2023-03-31,82.25,82.58999633789062,81.58000183105469,82.02999877929688,1916200,82.02999877929688,0.0,0.0,82.58999633789062,76.7043994140625,73.77619979858399,137.32350036621094,6.943016835952203,11.187617420315142,-46.27561953938005,8.557445336781761
